helps,strike,ball,Estrada,22,1.9
helps,strike,ball,Stroman,12,3.1
helps,strike,ball,Stroman,34,0.9
hurts,strike,ball,Pillar,10,2.6
helps,strike,ball,Stroman,20,2.1
helps,ball,strike,Donaldson,12,2.6
helps,ball,strike,Carrera,30,1.4
helps,strike,ball,Storen,18,2.1
helps,ball,strike,Smoak,14,2.9
helps,strike,ball,Dickey,34,0.9
hurts,ball,strike,Venditte,16,2.4
helps,ball,strike,Encarnacion,20,1.6
helps,ball,strike,Donaldson,30,1.1
hurts,ball,strike,Sanchez,30,1.1
helps,ball,strike,Pillar,18,1.9
helps,ball,strike,Barney,6,3.4
helps,ball,strike,Donaldson,38,0.9
hurts,ball,strike,Floyd,24,1.9
helps,ball,strike,Martin,24,1.4
helps,ball,strike,Encarnacion,8,3.4
helps,ball,strike,Donaldson,22,1.9
helps,strike,ball,Estrada,32,0.9
hurts,ball,strike,Estrada,36,1.1
hurts,ball,strike,Estrada,40,0.6
helps,strike,ball,Estrada,6,3.6
helps,strike,ball,Estrada,12,2.4
helps,ball,strike,Martin,6,3.9
helps,strike,ball,Stroman,22,1.9
helps,strike,ball,Stroman,30,1.4
hurts,strike,ball,Encarnacion,4,4.1
helps,strike,ball,Dickey,32,1.1
hurts,strike,ball,Smoak,22,2.1
helps,strike,ball,Dickey,20,1.9
hurts,ball,strike,Dickey,24,1.6
helps,strike,ball,Osuna,8,4.4
helps,ball,strike,Pillar,30,1.1
hurts,strike,ball,Pillar,18,2.1
hurts,strike,ball,Donaldson,24,1.6
helps,ball,strike,Bautista,8,2.9
helps,ball,strike,Smoak,8,3.6
helps,ball,strike,Smoak,36,0.9
helps,ball,strike,Sanchez,14,2.6
helps,ball,strike,Martin,6,3.4
hurts,ball,strike,Floyd,10,3.6
helps,strike,ball,Happ,24,2.6
helps,strike,ball,Osuna,6,3.4
hurts,ball,strike,Osuna,20,1.6
hurts,strike,ball,Travis,18,1.9
hurts,strike,ball,Dominguez,22,1.6
helps,strike,ball,Chavez,30,1.4
hurts,ball,strike,Chavez,12,2.9
helps,strike,ball,Chavez,8,3.1
hurts,strike,ball,Saunders,4,4.4
hurts,strike,ball,Saunders,8,3.1
helps,strike,ball,Stroman,8,3.1
hurts,strike,ball,Bautista,30,0.9
hurts,strike,ball,Pillar,20,1.9
hurts,strike,ball,Saunders,8,3.1
helps,ball,strike,Smoak,0,5.9
hurts,strike,ball,Thole,8,3.1
hurts,ball,strike,Dickey,22,1.9
hurts,ball,strike,Dickey,18,2.9
helps,strike,ball,Dickey,6,3.4
hurts,strike,ball,Travis,24,1.4
helps,strike,ball,Dickey,0,9.6
hurts,strike,ball,Barney,14,2.4
helps,strike,ball,Sanchez,24,1.9
hurts,strike,ball,Barney,16,2.1
helps,ball,strike,Barney,18,2.1
hurts,strike,ball,Barney,20,1.9
helps,strike,ball,Chavez,22,1.9
helps,strike,ball,Chavez,10,2.9
helps,strike,ball,Happ,14,2.1
hurts,strike,ball,Pillar,6,3.6
helps,strike,ball,Happ,22,1.4
helps,strike,ball,Happ,8,3.1
helps,strike,ball,Happ,20,1.9
hurts,strike,ball,Bautista,10,2.6
hurts,ball,strike,Happ,34,0.9
helps,strike,ball,Happ,6,3.9
helps,strike,ball,Loup,12,2.6
hurts,strike,ball,Smoak,16,2.1
hurts,strike,ball,Pillar,2,4.9
helps,strike,ball,Osuna,16,2.6
helps,strike,ball,Osuna,14,2.1
helps,strike,ball,Biagini,16,2.1
